epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
22,2197.73,0.74842,0.44719,1.09734,0.99924,0.99938,0.99477,0.88039,0.54648,0.26553,0.89141,0.000990125,0.000990125,0.000990125
23,2295.63,0.76074,0.44794,1.1025,0.99918,0.99938,0.99463,0.85826,0.65685,0.28441,0.91387,0.00097775,0.00097775,0.00097775
24,2388.16,0.74983,0.44275,1.098,0.99956,0.99969,0.99489,0.89103,0.51947,0.26201,0.87344,0.000965375,0.000965375,0.000965375
25,2484.86,0.74487,0.44608,1.09456,0.99923,0.99938,0.99468,0.87306,0.57669,0.25849,0.89393,0.000953,0.000953,0.000953
26,2581.75,0.73718,0.43703,1.08969,0.99923,0.99938,0.99476,0.88891,0.53739,0.25798,0.88422,0.000940625,0.000940625,0.000940625
27,2680.09,0.73194,0.42981,1.08441,0.99924,0.99938,0.99451,0.86916,0.61322,0.26984,0.89598,0.00092825,0.00092825,0.00092825
28,2777.22,0.73027,0.42713,1.07732,0.99919,0.99938,0.99471,0.86503,0.61223,0.26666,0.89347,0.000915875,0.000915875,0.000915875
29,2872.07,0.71365,0.41519,1.07475,0.99918,0.99938,0.99465,0.89519,0.5119,0.2398,0.86806,0.0009035,0.0009035,0.0009035
30,2969.86,0.71971,0.41858,1.07774,0.9992,0.99938,0.99463,0.88401,0.56823,0.25281,0.88508,0.000891125,0.000891125,0.000891125
31,3070.57,0.71538,0.41933,1.0787,0.99924,0.99938,0.99489,0.88309,0.57678,0.25361,0.89381,0.00087875,0.00087875,0.00087875
32,3170.44,0.71729,0.41791,1.07771,0.99925,0.99938,0.99471,0.87533,0.58978,0.25821,0.89023,0.000866375,0.000866375,0.000866375
33,3271.82,0.70724,0.40713,1.07222,0.99925,0.99938,0.99489,0.87807,0.5839,0.25719,0.89023,0.000854,0.000854,0.000854
34,3369.17,0.70173,0.40477,1.06753,0.99957,0.99969,0.99495,0.90132,0.50335,0.23663,0.8702,0.000841625,0.000841625,0.000841625
35,3463.73,0.70398,0.40595,1.07017,0.99923,0.99938,0.99455,0.87857,0.58285,0.2498,0.89078,0.00082925,0.00082925,0.00082925
36,3563.74,0.69215,0.39883,1.06238,0.99952,0.99969,0.99489,0.90391,0.51048,0.2376,0.87078,0.000816875,0.000816875,0.000816875
37,3660.4,0.69427,0.40034,1.06344,0.99954,0.99969,0.99481,0.88015,0.57972,0.24943,0.88568,0.0008045,0.0008045,0.0008045
38,3759.98,0.69011,0.39726,1.06091,0.99921,0.99938,0.99445,0.89123,0.54013,0.24348,0.88259,0.000792125,0.000792125,0.000792125
39,3858.67,0.68511,0.39554,1.0591,0.99954,0.99969,0.99484,0.88803,0.54988,0.24553,0.87257,0.00077975,0.00077975,0.00077975
40,3955.97,0.68282,0.39359,1.05676,0.99926,0.99938,0.99485,0.88598,0.55281,0.24448,0.88292,0.000767375,0.000767375,0.000767375
41,4053.45,0.67863,0.39001,1.05855,0.99919,0.99938,0.99475,0.8911,0.53485,0.23472,0.87629,0.000755,0.000755,0.000755
42,4152.96,0.66772,0.37824,1.04427,0.99916,0.99938,0.99494,0.8886,0.54429,0.23822,0.87412,0.000742625,0.000742625,0.000742625
43,4249.05,0.67394,0.38958,1.05202,0.99911,0.99938,0.99466,0.86946,0.60597,0.24825,0.89343,0.00073025,0.00073025,0.00073025
44,4344.92,0.67134,0.38854,1.05025,0.9992,0.99938,0.99491,0.87272,0.59786,0.24884,0.88956,0.000717875,0.000717875,0.000717875
45,4442.25,0.67074,0.38265,1.0514,0.99919,0.99938,0.99478,0.87782,0.57708,0.23825,0.88684,0.0007055,0.0007055,0.0007055
46,4542.86,0.65816,0.37811,1.04404,0.9992,0.99938,0.99485,0.89678,0.51706,0.23379,0.86219,0.000693125,0.000693125,0.000693125
47,4641.26,0.66155,0.38115,1.04364,0.99925,0.99938,0.99451,0.87571,0.59949,0.24747,0.89237,0.00068075,0.00068075,0.00068075
48,4740.39,0.66498,0.38062,1.0529,0.99922,0.99938,0.99482,0.89875,0.51524,0.23104,0.86866,0.000668375,0.000668375,0.000668375
49,4835.09,0.65346,0.37645,1.04756,0.99919,0.99938,0.99471,0.89407,0.53595,0.23234,0.86912,0.000656,0.000656,0.000656
50,4930.32,0.652,0.37492,1.04455,0.99919,0.99938,0.99483,0.86569,0.64296,0.24645,0.89825,0.000643625,0.000643625,0.000643625
51,5028.43,0.64515,0.36456,1.03528,0.99922,0.99938,0.99441,0.89066,0.53419,0.22698,0.87091,0.00063125,0.00063125,0.00063125
52,5123.54,0.63893,0.36139,1.03404,0.99922,0.99938,0.99454,0.89828,0.51992,0.22158,0.86599,0.000618875,0.000618875,0.000618875
53,5219.35,0.64453,0.36132,1.03669,0.99922,0.99938,0.99483,0.88769,0.55064,0.22546,0.86971,0.0006065,0.0006065,0.0006065
54,5315.82,0.63264,0.35659,1.03466,0.99918,0.99938,0.99466,0.8874,0.5665,0.22535,0.87198,0.000594125,0.000594125,0.000594125
55,5413.1,0.64146,0.36395,1.03511,0.99912,0.99938,0.9948,0.90563,0.50583,0.21785,0.85783,0.00058175,0.00058175,0.00058175
56,5512.14,0.6346,0.36024,1.03027,0.99941,0.99969,0.99495,0.8956,0.54407,0.22317,0.867,0.000569375,0.000569375,0.000569375
57,5608.91,0.62687,0.35495,1.02971,0.99921,0.99938,0.99466,0.90108,0.51273,0.21582,0.86359,0.000557,0.000557,0.000557
58,5708.04,0.62933,0.35103,1.02814,0.99907,0.99938,0.99468,0.89544,0.52007,0.22005,0.86602,0.000544625,0.000544625,0.000544625
59,5807.09,0.63033,0.35492,1.03162,0.99918,0.99938,0.99491,0.87817,0.58994,0.22866,0.88158,0.00053225,0.00053225,0.00053225
60,5905.97,0.62568,0.34762,1.02563,0.99909,0.99938,0.99471,0.88738,0.54866,0.22057,0.87016,0.000519875,0.000519875,0.000519875
61,6001.33,0.63322,0.36007,1.03499,0.99902,0.99938,0.99441,0.90615,0.47893,0.20923,0.85278,0.0005075,0.0005075,0.0005075
62,6096.57,0.62318,0.34799,1.02575,0.99917,0.99938,0.99471,0.89697,0.50907,0.21597,0.8637,0.000495125,0.000495125,0.000495125
63,6196.68,0.61992,0.34673,1.02012,0.9991,0.99938,0.99467,0.8975,0.51208,0.21305,0.86518,0.00048275,0.00048275,0.00048275
64,6295.92,0.61761,0.35052,1.01748,0.99911,0.99938,0.99467,0.89576,0.51699,0.21254,0.86256,0.000470375,0.000470375,0.000470375
65,6394.93,0.61291,0.34535,1.02286,0.99911,0.99938,0.99475,0.90338,0.50358,0.20888,0.857,0.000458,0.000458,0.000458
66,6494.36,0.60978,0.34309,1.02056,0.99912,0.99938,0.99443,0.8972,0.51036,0.2126,0.8627,0.000445625,0.000445625,0.000445625
67,6592.94,0.60324,0.3408,1.01697,0.9992,0.99938,0.99483,0.90029,0.51215,0.21159,0.86441,0.00043325,0.00043325,0.00043325
68,6690.32,0.60952,0.34105,1.02119,0.99905,0.99938,0.99493,0.90225,0.49707,0.20372,0.86038,0.000420875,0.000420875,0.000420875
69,6787.75,0.60352,0.33723,1.02056,0.99919,0.99938,0.99488,0.91194,0.46677,0.20113,0.8511,0.0004085,0.0004085,0.0004085
70,6887.49,0.60112,0.334,1.01461,0.99922,0.99938,0.9947,0.90956,0.49142,0.20135,0.85229,0.000396125,0.000396125,0.000396125
71,6983.47,0.59698,0.33217,1.01263,0.9992,0.99938,0.99475,0.9071,0.49246,0.20378,0.85436,0.00038375,0.00038375,0.00038375
72,7084.01,0.59089,0.32525,1.0099,0.99948,0.99969,0.99488,0.91499,0.47166,0.1971,0.84817,0.000371375,0.000371375,0.000371375
73,7181.32,0.59568,0.33501,1.01714,0.99947,0.99969,0.99483,0.91506,0.46088,0.19822,0.84765,0.000359,0.000359,0.000359
74,7277.51,0.58816,0.32332,1.00866,0.99908,0.99938,0.99473,0.90087,0.51152,0.20701,0.85865,0.000346625,0.000346625,0.000346625
75,7376.02,0.58946,0.33013,1.01269,0.99923,0.99938,0.99495,0.91447,0.46086,0.19476,0.8508,0.00033425,0.00033425,0.00033425
76,7476.23,0.58269,0.32804,1.00501,0.99916,0.99938,0.99492,0.90185,0.50089,0.20426,0.85767,0.000321875,0.000321875,0.000321875
77,7571.02,0.57974,0.32159,1.00223,0.99917,0.99938,0.99486,0.90876,0.49603,0.20119,0.85289,0.0003095,0.0003095,0.0003095
78,7668.92,0.58149,0.32313,1.00281,0.99914,0.99938,0.99481,0.91305,0.46935,0.19727,0.84913,0.000297125,0.000297125,0.000297125
79,7764.65,0.58331,0.31913,0.99942,0.99915,0.99938,0.99485,0.91522,0.45192,0.19585,0.84426,0.00028475,0.00028475,0.00028475
80,7860.51,0.58127,0.32444,1.00545,0.99946,0.99969,0.99489,0.91272,0.4792,0.20037,0.84885,0.000272375,0.000272375,0.000272375
81,7955.15,0.5723,0.31949,1.00348,0.99956,0.99969,0.99471,0.92184,0.4424,0.19105,0.84103,0.00026,0.00026,0.00026
82,8050.96,0.5736,0.31785,1.00316,0.99918,0.99938,0.9946,0.9091,0.47622,0.20067,0.85095,0.000247625,0.000247625,0.000247625
83,8149.41,0.56511,0.31216,0.99655,0.99907,0.99938,0.99456,0.91885,0.43823,0.19501,0.84001,0.00023525,0.00023525,0.00023525
84,8248.31,0.57088,0.31526,0.99687,0.9992,0.99938,0.99443,0.91021,0.47212,0.19679,0.84635,0.000222875,0.000222875,0.000222875
85,8347.48,0.56493,0.30997,0.99795,0.9992,0.99938,0.99451,0.90339,0.49447,0.20152,0.85296,0.0002105,0.0002105,0.0002105
86,8442.51,0.56601,0.31283,0.99594,0.9992,0.99938,0.99459,0.91615,0.45312,0.19181,0.84235,0.000198125,0.000198125,0.000198125
87,8540.86,0.56761,0.3107,0.99677,0.9992,0.99938,0.99458,0.91099,0.47436,0.19643,0.84735,0.00018575,0.00018575,0.00018575
88,8636.07,0.55965,0.30554,0.99121,0.99922,0.99938,0.99448,0.91404,0.47234,0.19421,0.8461,0.000173375,0.000173375,0.000173375
89,8738.81,0.55214,0.30418,0.9889,0.99917,0.99938,0.99447,0.90231,0.51165,0.20084,0.85878,0.000161,0.000161,0.000161
90,8834.65,0.55281,0.30171,0.98942,0.99915,0.99938,0.99447,0.90962,0.48521,0.19521,0.84887,0.000148625,0.000148625,0.000148625
91,8930.36,0.38623,0.189,0.87754,0.99914,0.99938,0.99446,0.91037,0.48288,0.19973,0.84519,0.00013625,0.00013625,0.00013625
92,9030.92,0.37337,0.17885,0.87604,0.99917,0.99938,0.99455,0.91548,0.45898,0.19233,0.84163,0.000123875,0.000123875,0.000123875
93,9129.86,0.36988,0.17506,0.86988,0.99922,0.99938,0.99477,0.92443,0.43526,0.18667,0.83458,0.0001115,0.0001115,0.0001115
94,9228.55,0.3616,0.17275,0.86988,0.99952,0.99969,0.99492,0.92638,0.4306,0.18467,0.83361,9.9125e-05,9.9125e-05,9.9125e-05
95,9328.32,0.3561,0.16959,0.86724,0.99955,0.99969,0.9949,0.92547,0.43154,0.18213,0.83431,8.675e-05,8.675e-05,8.675e-05
96,9423.51,0.35854,0.16927,0.86362,0.99956,0.99969,0.99485,0.92497,0.44053,0.1831,0.8365,7.4375e-05,7.4375e-05,7.4375e-05
97,9519.15,0.3523,0.16731,0.86289,0.99956,0.99969,0.99483,0.92189,0.4476,0.18538,0.83867,6.2e-05,6.2e-05,6.2e-05
98,9613.88,0.348,0.16561,0.86186,0.99957,0.99969,0.99483,0.92324,0.44566,0.18559,0.83603,4.9625e-05,4.9625e-05,4.9625e-05
99,9712.89,0.3414,0.16307,0.85745,0.99956,0.99969,0.99484,0.92351,0.44139,0.18431,0.8348,3.725e-05,3.725e-05,3.725e-05
100,9809.18,0.34401,0.16247,0.85795,0.99956,0.99969,0.99483,0.92067,0.44634,0.1845,0.83595,2.4875e-05,2.4875e-05,2.4875e-05
