epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
19,3655.47,0.82292,0.52099,1.1895,0.99988,0.9998,0.995,0.90866,0.42846,0.25373,0.88494,0.008218,0.008218,0.008218
20,3850.55,0.81223,0.51527,1.18546,0.99995,1,0.995,0.90419,0.44478,0.24332,0.88418,0.008119,0.008119,0.008119
21,4041.04,0.80963,0.50587,1.18563,0.99991,0.99983,0.995,0.91173,0.44692,0.24265,0.8785,0.00802,0.00802,0.00802
22,4230.91,0.79884,0.50026,1.17687,0.99985,0.99987,0.995,0.90195,0.46855,0.23958,0.89048,0.007921,0.007921,0.007921
23,4422.69,0.79243,0.49342,1.1759,0.99965,0.99988,0.995,0.90508,0.46882,0.23727,0.88959,0.007822,0.007822,0.007822
24,4604.76,0.78695,0.48752,1.16925,0.99989,0.99992,0.995,0.90626,0.46742,0.24825,0.88722,0.007723,0.007723,0.007723
25,4792.19,0.79042,0.49201,1.1749,0.99987,0.99997,0.995,0.90693,0.46812,0.24186,0.88731,0.007624,0.007624,0.007624
26,4979.89,0.78079,0.48755,1.16459,0.99991,0.99992,0.995,0.90886,0.46145,0.23122,0.88748,0.007525,0.007525,0.007525
27,5169.6,0.77448,0.47626,1.16334,0.99982,1,0.995,0.9071,0.45651,0.22298,0.88151,0.007426,0.007426,0.007426
28,5358.26,0.77656,0.48066,1.16467,0.99995,0.99997,0.995,0.90738,0.47778,0.23274,0.88622,0.007327,0.007327,0.007327
29,5546.78,0.76612,0.47078,1.15759,0.99989,1,0.995,0.9057,0.46641,0.2265,0.8843,0.007228,0.007228,0.007228
30,5731.15,0.76487,0.47068,1.1539,0.99995,0.99993,0.995,0.91341,0.4523,0.21929,0.87667,0.007129,0.007129,0.007129
31,5916.98,0.75497,0.46468,1.15258,0.99993,0.99997,0.995,0.90109,0.48044,0.22227,0.88575,0.00703,0.00703,0.00703
32,6105.51,0.75345,0.46433,1.14705,0.99985,0.99992,0.995,0.90414,0.47392,0.22404,0.88025,0.006931,0.006931,0.006931
33,6294.17,0.74864,0.45731,1.15041,0.99994,0.99998,0.995,0.90247,0.48784,0.21822,0.88329,0.006832,0.006832,0.006832
34,6482.47,0.74464,0.45566,1.14578,0.99993,0.99999,0.995,0.90266,0.48901,0.22466,0.88385,0.006733,0.006733,0.006733
35,6670.37,0.74238,0.4524,1.14383,0.99993,0.99996,0.995,0.90466,0.48168,0.22021,0.89244,0.006634,0.006634,0.006634
36,6862.92,0.73777,0.44276,1.1389,0.99959,0.99994,0.995,0.90352,0.49008,0.21904,0.88969,0.006535,0.006535,0.006535
37,7050.67,0.73872,0.45002,1.14349,0.99995,0.99998,0.995,0.90052,0.48514,0.21886,0.88124,0.006436,0.006436,0.006436
38,7241.03,0.72637,0.43964,1.1335,0.99985,0.99992,0.995,0.92322,0.41705,0.20546,0.86093,0.006337,0.006337,0.006337
39,7431.61,0.72353,0.43928,1.13351,0.99995,0.99997,0.995,0.91044,0.46072,0.2112,0.87415,0.006238,0.006238,0.006238
40,7625.24,0.72267,0.43622,1.12704,0.99991,0.99999,0.995,0.91318,0.43764,0.20664,0.86531,0.006139,0.006139,0.006139
41,7815.46,0.72174,0.43767,1.12891,0.99993,0.99988,0.995,0.90454,0.47644,0.21035,0.88448,0.00604,0.00604,0.00604
42,8009.63,0.71958,0.43279,1.1269,0.99995,0.99999,0.995,0.91422,0.44819,0.20533,0.86335,0.005941,0.005941,0.005941
43,8205.14,0.71606,0.42988,1.12453,0.99996,0.99997,0.995,0.90616,0.48091,0.21442,0.88442,0.005842,0.005842,0.005842
44,8391.67,0.70996,0.42559,1.12564,0.99995,0.99999,0.995,0.90754,0.4705,0.20377,0.87726,0.005743,0.005743,0.005743
45,8581.6,0.70734,0.42411,1.12424,0.99997,0.99995,0.995,0.92294,0.42328,0.19763,0.85559,0.005644,0.005644,0.005644
46,8772.17,0.70702,0.42174,1.12002,0.99995,0.99999,0.995,0.92037,0.41994,0.19279,0.85394,0.005545,0.005545,0.005545
47,8961.55,0.70501,0.42019,1.12379,0.99996,0.99995,0.995,0.92269,0.41416,0.19596,0.85672,0.005446,0.005446,0.005446
48,9148.49,0.69692,0.42124,1.12097,0.99989,0.99996,0.995,0.92271,0.41501,0.19303,0.85313,0.005347,0.005347,0.005347
49,9332.18,0.69569,0.41643,1.11449,0.99995,0.99995,0.995,0.92027,0.4322,0.19486,0.86006,0.005248,0.005248,0.005248
50,9519.32,0.68832,0.41189,1.11063,0.99994,0.99997,0.995,0.92715,0.40788,0.1907,0.85026,0.005149,0.005149,0.005149
51,9711.72,0.68547,0.40805,1.11116,0.99997,0.99991,0.995,0.92672,0.41699,0.19275,0.85507,0.00505,0.00505,0.00505
52,9902.76,0.68334,0.40709,1.10753,0.99994,0.99996,0.995,0.92722,0.41371,0.19452,0.85451,0.004951,0.004951,0.004951
53,10088,0.68119,0.40547,1.09967,0.99995,1,0.995,0.92003,0.43415,0.1907,0.85752,0.004852,0.004852,0.004852
54,10276.2,0.68127,0.40573,1.10328,0.99995,0.99999,0.995,0.91769,0.44132,0.19092,0.86539,0.004753,0.004753,0.004753
55,10465,0.67496,0.39845,1.09513,0.99994,0.99997,0.995,0.92516,0.41559,0.18824,0.8497,0.004654,0.004654,0.004654
56,10650.9,0.67778,0.40135,1.09797,0.99996,0.99998,0.995,0.92302,0.41535,0.18667,0.84931,0.004555,0.004555,0.004555
57,10841.8,0.67226,0.39995,1.10069,0.99996,0.99995,0.995,0.92547,0.41355,0.18635,0.85172,0.004456,0.004456,0.004456
58,11028.9,0.66813,0.39364,1.09361,0.99996,0.99996,0.995,0.93141,0.39678,0.18536,0.84673,0.004357,0.004357,0.004357
59,11217.1,0.66564,0.3914,1.09422,0.99995,0.99996,0.995,0.92936,0.4037,0.18131,0.84714,0.004258,0.004258,0.004258
60,11404.5,0.6689,0.39545,1.09467,0.99995,0.99995,0.995,0.9326,0.40481,0.1804,0.84643,0.004159,0.004159,0.004159
61,11595.3,0.66243,0.38682,1.09223,0.99997,0.99995,0.995,0.93667,0.38814,0.1758,0.84099,0.00406,0.00406,0.00406
62,11783.9,0.66042,0.38699,1.0945,0.99995,0.99996,0.995,0.93067,0.40308,0.17896,0.8452,0.003961,0.003961,0.003961
63,11969,0.65596,0.38428,1.09004,0.99995,0.99995,0.995,0.92861,0.40725,0.18266,0.84567,0.003862,0.003862,0.003862
64,12154.8,0.6554,0.38273,1.0884,0.99995,0.99995,0.995,0.93303,0.39232,0.17699,0.83984,0.003763,0.003763,0.003763
65,12345.9,0.65171,0.38153,1.08157,0.99996,0.99995,0.995,0.93218,0.39689,0.17854,0.84086,0.003664,0.003664,0.003664
66,12533.3,0.65614,0.38518,1.08815,0.99996,0.99997,0.995,0.93591,0.385,0.17554,0.83733,0.003565,0.003565,0.003565
67,12728.8,0.64659,0.38005,1.08367,0.99996,0.99997,0.995,0.93518,0.39218,0.17647,0.84085,0.003466,0.003466,0.003466
68,12916.3,0.6481,0.37726,1.08441,0.99997,0.99996,0.995,0.9342,0.39306,0.17524,0.84077,0.003367,0.003367,0.003367
69,13104.4,0.64758,0.37845,1.08173,0.99996,0.99997,0.995,0.93543,0.38577,0.17464,0.83843,0.003268,0.003268,0.003268
70,13295.6,0.64192,0.37416,1.07838,0.99995,0.99996,0.995,0.93403,0.38866,0.17431,0.839,0.003169,0.003169,0.003169
71,13484.2,0.63914,0.3731,1.07585,0.99996,0.99997,0.995,0.92974,0.39818,0.17548,0.84179,0.00307,0.00307,0.00307
72,13676.8,0.64035,0.37106,1.08045,0.99996,0.99997,0.995,0.9337,0.38996,0.17384,0.83922,0.002971,0.002971,0.002971
73,13864.7,0.63145,0.36694,1.07314,0.99996,0.99997,0.995,0.93305,0.39379,0.17302,0.83998,0.002872,0.002872,0.002872
74,14054.6,0.62885,0.36705,1.06921,0.99996,0.99997,0.995,0.93339,0.39349,0.17271,0.83918,0.002773,0.002773,0.002773
75,14239.3,0.6302,0.36882,1.07603,0.99996,0.99996,0.995,0.93559,0.39051,0.17195,0.8386,0.002674,0.002674,0.002674
76,14430.7,0.62565,0.36287,1.07175,0.99996,0.99996,0.995,0.93459,0.39281,0.17134,0.83988,0.002575,0.002575,0.002575
77,14613.9,0.62268,0.36147,1.06683,0.99995,0.99997,0.995,0.93345,0.39565,0.17232,0.84075,0.002476,0.002476,0.002476
78,14799.5,0.62114,0.36069,1.06928,0.99995,0.99997,0.995,0.93225,0.39905,0.17267,0.8428,0.002377,0.002377,0.002377
79,14983.9,0.61843,0.35681,1.06624,0.99995,0.99997,0.995,0.93526,0.39165,0.17058,0.8395,0.002278,0.002278,0.002278
80,15175.6,0.61076,0.35456,1.06178,0.99996,0.99996,0.995,0.93704,0.38722,0.16908,0.83728,0.002179,0.002179,0.002179
81,15368.9,0.61508,0.35381,1.06526,0.99996,0.99996,0.995,0.93588,0.38885,0.16912,0.83796,0.00208,0.00208,0.00208
82,15562.2,0.61471,0.35419,1.06796,0.99997,0.99996,0.995,0.93559,0.38825,0.16883,0.83736,0.001981,0.001981,0.001981
83,15749.4,0.60851,0.35157,1.05671,0.99997,0.99996,0.995,0.93544,0.38843,0.16834,0.83675,0.001882,0.001882,0.001882
84,15937.9,0.60932,0.35425,1.06026,0.99997,0.99996,0.995,0.93639,0.38465,0.1672,0.83506,0.001783,0.001783,0.001783
85,16127.4,0.60263,0.34755,1.05677,0.99997,0.99996,0.995,0.9377,0.38135,0.16586,0.83334,0.001684,0.001684,0.001684
86,16312.9,0.60113,0.34513,1.05598,0.99996,0.99996,0.995,0.93933,0.37802,0.16495,0.83207,0.001585,0.001585,0.001585
87,16502.8,0.60211,0.34607,1.05833,0.99996,0.99997,0.995,0.9399,0.37579,0.16427,0.83142,0.001486,0.001486,0.001486
88,16693.6,0.59282,0.34044,1.05325,0.99996,0.99997,0.995,0.9404,0.37495,0.16367,0.83097,0.001387,0.001387,0.001387
89,16890.8,0.59578,0.34285,1.05271,0.99997,0.99996,0.995,0.94137,0.37461,0.16345,0.83064,0.001288,0.001288,0.001288
90,17074.1,0.58795,0.33946,1.04741,0.99996,0.99997,0.995,0.94154,0.37564,0.16384,0.83074,0.001189,0.001189,0.001189
91,17264.6,0.37242,0.18733,0.92142,0.99996,0.99996,0.995,0.94158,0.37577,0.16369,0.8308,0.00109,0.00109,0.00109
92,17454.8,0.35505,0.17689,0.91172,0.99996,0.99996,0.995,0.94265,0.373,0.16272,0.82963,0.000991,0.000991,0.000991
93,17645.6,0.34895,0.1737,0.90783,0.99996,0.99996,0.995,0.94506,0.36674,0.16132,0.82731,0.000892,0.000892,0.000892
94,17839,0.34234,0.17167,0.9038,0.99996,0.99995,0.995,0.94801,0.36043,0.15978,0.82495,0.000793,0.000793,0.000793
95,18028.1,0.33732,0.16788,0.89763,0.99996,0.99995,0.995,0.95035,0.35537,0.15857,0.82291,0.000694,0.000694,0.000694
96,18215.7,0.33433,0.16529,0.89996,0.99997,0.99995,0.995,0.952,0.35139,0.15781,0.82138,0.000595,0.000595,0.000595
97,18405.1,0.32894,0.1624,0.89341,0.99997,0.99995,0.995,0.954,0.34687,0.15676,0.81975,0.000496,0.000496,0.000496
98,18595,0.32409,0.15968,0.89212,0.99997,0.99995,0.995,0.9556,0.34266,0.15575,0.81827,0.000397,0.000397,0.000397
99,18780.4,0.31802,0.15797,0.88892,0.99997,0.99995,0.995,0.95676,0.33944,0.155,0.81719,0.000298,0.000298,0.000298
100,18972.9,0.315,0.1563,0.88609,0.99997,0.99994,0.995,0.95746,0.33665,0.15468,0.81631,0.000199,0.000199,0.000199
